ID,Name,Full Name,Type 1,Type 2,Fast Move,Charge Move
40,Charmander,Charmander,Fire,Poison,Scratch,Flame Burst
41,Charmander,Charmander,Fire,Poison,Scratch,Frustration
42,Charmander,Charmander,Fire,Poison,Scratch,Return
43,Charmeleon,Charmeleon,Fire,Poison,Ember,Flamethrower
44,Charmeleon,Charmeleon,Fire,Poison,Ember,Flame Burst
45,Charmeleon,Charmeleon,Fire,Poison,Ember,Fire Punch
46,Charmeleon,Charmeleon,Fire,Poison,Ember,Frustration
47,Charmeleon,Charmeleon,Fire,Poison,Ember,Return
48,Charmeleon,Charmeleon,Fire,Poison,Scratch,Flamethrower
49,Charmeleon,Charmeleon,Fire,Poison,Scratch,Flame Burst
50,Charmeleon,Charmeleon,Fire,Poison,Scratch,Fire Punch
51,Charmeleon,Charmeleon,Fire,Poison,Scratch,Frustration
52,Charmeleon,Charmeleon,Fire,Poison,Scratch,Return
53,Charmeleon,Charmeleon,Fire,Poison,Fire Fang,Flamethrower
54,Charmeleon,Charmeleon,Fire,Poison,Fire Fang,Flame Burst
55,Charmeleon,Charmeleon,Fire,Poison,Fire Fang,Fire Punch
56,Charmeleon,Charmeleon,Fire,Poison,Fire Fang,Frustration
57,Charmeleon,Charmeleon,Fire,Poison,Fire Fang,Return
58,Charizard,Charizard,Fire,Flying,Dragon Breath,Flamethrower
59,Charizard,Charizard,Fire,Flying,Dragon Breath,Dragon Claw
60,Charizard,Charizard,Fire,Flying,Dragon Breath,Fire Blast
61,Charizard,Charizard,Fire,Flying,Dragon Breath,Overheat
62,Charizard,Charizard,Fire,Flying,Dragon Breath,Blast Burn
63,Charizard,Charizard,Fire,Flying,Dragon Breath,Frustration
64,Charizard,Charizard,Fire,Flying,Dragon Breath,Return
65,Charizard,Charizard,Fire,Flying,Ember,Flamethrower
66,Charizard,Charizard,Fire,Flying,Ember,Dragon Claw
67,Charizard,Charizard,Fire,Flying,Ember,Fire Blast
68,Charizard,Charizard,Fire,Flying,Ember,Overheat
69,Charizard,Charizard,Fire,Flying,Ember,Blast Burn
70,Charizard,Charizard,Fire,Flying,Ember,Frustration
71,Charizard,Charizard,Fire,Flying,Ember,Return
72,Charizard,Charizard,Fire,Flying,Wing Attack,Flamethrower
73,Charizard,Charizard,Fire,Flying,Wing Attack,Dragon Claw
74,Charizard,Charizard,Fire,Flying,Wing Attack,Fire Blast
75,Charizard,Charizard,Fire,Flying,Wing Attack,Overheat
76,Charizard,Charizard,Fire,Flying,Wing Attack,Blast Burn
77,Charizard,Charizard,Fire,Flying,Wing Attack,Frustration
78,Charizard,Charizard,Fire,Flying,Wing Attack,Return
79,Charizard,Charizard,Fire,Flying,Air Slash,Flamethrower
80,Charizard,Charizard,Fire,Flying,Air Slash,Dragon Claw
81,Charizard,Charizard,Fire,Flying,Air Slash,Fire Blast
82,Charizard,Charizard,Fire,Flying,Air Slash,Overheat
83,Charizard,Charizard,Fire,Flying,Air Slash,Blast Burn
84,Charizard,Charizard,Fire,Flying,Air Slash,Frustration
85,Charizard,Charizard,Fire,Flying,Air Slash,Return
86,Charizard,Charizard,Fire,Flying,Fire Spin,Flamethrower
87,Charizard,Charizard,Fire,Flying,Fire Spin,Dragon Claw
88,Charizard,Charizard,Fire,Flying,Fire Spin,Fire Blast
89,Charizard,Charizard,Fire,Flying,Fire Spin,Overheat
90,Charizard,Charizard,Fire,Flying,Fire Spin,Blast Burn
91,Charizard,Charizard,Fire,Flying,Fire Spin,Frustration
92,Charizard,Charizard,Fire,Flying,Fire Spin,Return
93,Squirtle,Squirtle,Water,Flying,Tackle,Aqua Jet
94,Squirtle,Squirtle,Water,Flying,Tackle,Aqua Tail
95,Squirtle,Squirtle,Water,Flying,Tackle,Water Pulse
96,Squirtle,Squirtle,Water,Flying,Tackle,Frustration
97,Squirtle,Squirtle,Water,Flying,Tackle,Return
98,Squirtle,Squirtle,Water,Flying,Bubble,Aqua Jet
99,Squirtle,Squirtle,Water,Flying,Bubble,Aqua Tail
100,Squirtle,Squirtle,Water,Flying,Bubble,Water Pulse
101,Squirtle,Squirtle,Water,Flying,Bubble,Frustration
102,Squirtle,Squirtle,Water,Flying,Bubble,Return
103,Wartortle,Wartortle,Water,Flying,Bite,Ice Beam
104,Wartortle,Wartortle,Water,Flying,Bite,Aqua Jet
105,Wartortle,Wartortle,Water,Flying,Bite,Hydro Pump
106,Wartortle,Wartortle,Water,Flying,Bite,Frustration
107,Wartortle,Wartortle,Water,Flying,Bite,Return
108,Wartortle,Wartortle,Water,Flying,Water Gun,Ice Beam
109,Wartortle,Wartortle,Water,Flying,Water Gun,Aqua Jet
110,Wartortle,Wartortle,Water,Flying,Water Gun,Hydro Pump
111,Wartortle,Wartortle,Water,Flying,Water Gun,Frustration
112,Wartortle,Wartortle,Water,Flying,Water Gun,Return
113,Blastoise,Blastoise,Water,Flying,Bite,Flash Cannon
114,Blastoise,Blastoise,Water,Flying,Bite,Ice Beam
115,Blastoise,Blastoise,Water,Flying,Bite,Hydro Pump
116,Blastoise,Blastoise,Water,Flying,Bite,Hydro Cannon
117,Blastoise,Blastoise,Water,Flying,Bite,Skull Bash
118,Blastoise,Blastoise,Water,Flying,Bite,Frustration
119,Blastoise,Blastoise,Water,Flying,Bite,Return
120,Blastoise,Blastoise,Water,Flying,Water Gun,Flash Cannon
121,Blastoise,Blastoise,Water,Flying,Water Gun,Ice Beam
122,Blastoise,Blastoise,Water,Flying,Water Gun,Hydro Pump
123,Blastoise,Blastoise,Water,Flying,Water Gun,Hydro Cannon
124,Blastoise,Blastoise,Water,Flying,Water Gun,Skull Bash
125,Blastoise,Blastoise,Water,Flying,Water Gun,Frustration
126,Blastoise,Blastoise,Water,Flying,Water Gun,Return
127,Caterpie,Caterpie,Bug,Flying,Bug Bite,Struggle
128,Caterpie,Caterpie,Bug,Flying,Tackle,Struggle
129,Metapod,Metapod,Bug,Flying,Bug Bite,Struggle
130,Metapod,Metapod,Bug,Flying,Tackle,Struggle
131,Butterfree,Butterfree,Bug,Flying,Bug Bite,Bug Buzz
132,Butterfree,Butterfree,Bug,Flying,Bug Bite,Signal Beam
133,Butterfree,Butterfree,Bug,Flying,Bug Bite,Psychic
134,Butterfree,Butterfree,Bug,Flying,Confusion,Bug Buzz
135,Butterfree,Butterfree,Bug,Flying,Confusion,Signal Beam
136,Butterfree,Butterfree,Bug,Flying,Confusion,Psychic
137,Butterfree,Butterfree,Bug,Flying,Struggle Bug,Bug Buzz
138,Butterfree,Butterfree,Bug,Flying,Struggle Bug,Signal Beam
139,Butterfree,Butterfree,Bug,Flying,Struggle Bug,Psychic
140,Weedle,Weedle,Bug,Poison,Bug Bite,Struggle
141,Weedle,Weedle,Bug,Poison,Bug Bite,Frustration
142,Weedle,Weedle,Bug,Poison,Bug Bite,Return
143,Weedle,Weedle,Bug,Poison,Poison Sting,Struggle
144,Weedle,Weedle,Bug,Poison,Poison Sting,Frustration
145,Weedle,Weedle,Bug,Poison,Poison Sting,Return
146,Kakuna,Kakuna,Bug,Poison,Bug Bite,Struggle
147,Kakuna,Kakuna,Bug,Poison,Bug Bite,Frustration
148,Kakuna,Kakuna,Bug,Poison,Bug Bite,Return
149,Kakuna,Kakuna,Bug,Poison,Poison Sting,Struggle
150,Kakuna,Kakuna,Bug,Poison,Poison Sting,Frustration
151,Kakuna,Kakuna,Bug,Poison,Poison Sting,Return
152,Beedrill,Beedrill,Bug,Poison,Bug Bite,Aerial Ace
153,Beedrill,Beedrill,Bug,Poison,Bug Bite,Drill Run
154,Beedrill,Beedrill,Bug,Poison,Bug Bite,Sludge Bomb
155,Beedrill,Beedrill,Bug,Poison,Bug Bite,X-Scissor
156,Beedrill,Beedrill,Bug,Poison,Bug Bite,Fell Stinger
157,Beedrill,Beedrill,Bug,Poison,Bug Bite,Frustration
158,Beedrill,Beedrill,Bug,Poison,Bug Bite,Return
159,Beedrill,Beedrill,Bug,Poison,Poison Jab,Aerial Ace
160,Beedrill,Beedrill,Bug,Poison,Poison Jab,Drill Run
161,Beedrill,Beedrill,Bug,Poison,Poison Jab,Sludge Bomb
162,Beedrill,Beedrill,Bug,Poison,Poison Jab,X-Scissor
163,Beedrill,Beedrill,Bug,Poison,Poison Jab,Fell Stinger
164,Beedrill,Beedrill,Bug,Poison,Poison Jab,Frustration
165,Beedrill,Beedrill,Bug,Poison,Poison Jab,Return
166,Beedrill,Beedrill,Bug,Poison,Infestation,Aerial Ace
167,Beedrill,Beedrill,Bug,Poison,Infestation,Drill Run
168,Beedrill,Beedrill,Bug,Poison,Infestation,Sludge Bomb
169,Beedrill,Beedrill,Bug,Poison,Infestation,X-Scissor
170,Beedrill,Beedrill,Bug,Poison,Infestation,Fell Stinger
171,Beedrill,Beedrill,Bug,Poison,Infestation,Frustration
172,Beedrill,Beedrill,Bug,Poison,Infestation,Return
173,Pidgey,Pidgey,Normal,Flying,Quick Attack,Aerial Ace
174,Pidgey,Pidgey,Normal,Flying,Quick Attack,Twister
175,Pidgey,Pidgey,Normal,Flying,Quick Attack,Air Cutter
176,Pidgey,Pidgey,Normal,Flying,Tackle,Aerial Ace
177,Pidgey,Pidgey,Normal,Flying,Tackle,Twister
178,Pidgey,Pidgey,Normal,Flying,Tackle,Air Cutter
179,Pidgeotto,Pidgeotto,Normal,Flying,Wing Attack,Aerial Ace
180,Pidgeotto,Pidgeotto,Normal,Flying,Wing Attack,Twister
181,Pidgeotto,Pidgeotto,Normal,Flying,Wing Attack,Air Cutter
182,Pidgeotto,Pidgeotto,Normal,Flying,Steel Wing,Aerial Ace
183,Pidgeotto,Pidgeotto,Normal,Flying,Steel Wing,Twister
184,Pidgeotto,Pidgeotto,Normal,Flying,Steel Wing,Air Cutter
185,Pidgeot,Pidgeot,Normal,Flying,Wing Attack,Aerial Ace
186,Pidgeot,Pidgeot,Normal,Flying,Wing Attack,Air Cutter
187,Pidgeot,Pidgeot,Normal,Flying,Wing Attack,Hurricane
188,Pidgeot,Pidgeot,Normal,Flying,Wing Attack,Brave Bird
189,Pidgeot,Pidgeot,Normal,Flying,Wing Attack,Feather Dance
190,Pidgeot,Pidgeot,Normal,Flying,Steel Wing,Aerial Ace
191,Pidgeot,Pidgeot,Normal,Flying,Steel Wing,Air Cutter
192,Pidgeot,Pidgeot,Normal,Flying,Steel Wing,Hurricane
193,Pidgeot,Pidgeot,Normal,Flying,Steel Wing,Brave Bird
194,Pidgeot,Pidgeot,Normal,Flying,Steel Wing,Feather Dance
195,Pidgeot,Pidgeot,Normal,Flying,Air Slash,Aerial Ace
196,Pidgeot,Pidgeot,Normal,Flying,Air Slash,Air Cutter
197,Pidgeot,Pidgeot,Normal,Flying,Air Slash,Hurricane
198,Pidgeot,Pidgeot,Normal,Flying,Air Slash,Brave Bird
199,Pidgeot,Pidgeot,Normal,Flying,Air Slash,Feather Dance
200,Pidgeot,Pidgeot,Normal,Flying,Gust,Aerial Ace
201,Pidgeot,Pidgeot,Normal,Flying,Gust,Air Cutter
202,Pidgeot,Pidgeot,Normal,Flying,Gust,Hurricane
203,Pidgeot,Pidgeot,Normal,Flying,Gust,Brave Bird
204,Pidgeot,Pidgeot,Normal,Flying,Gust,Feather Dance
205,Rattata,Rattata,Normal,Flying,Quick Attack,Dig
206,Rattata,Rattata,Normal,Flying,Quick Attack,Hyper Fang
207,Rattata,Rattata,Normal,Flying,Quick Attack,Body Slam
208,Rattata,Rattata,Normal,Flying,Quick Attack,Frustration
209,Rattata,Rattata,Normal,Flying,Quick Attack,Return
210,Rattata,Rattata,Normal,Flying,Tackle,Dig
211,Rattata,Rattata,Normal,Flying,Tackle,Hyper Fang
212,Rattata,Rattata,Normal,Flying,Tackle,Body Slam
213,Rattata,Rattata,Normal,Flying,Tackle,Frustration
214,Rattata,Rattata,Normal,Flying,Tackle,Return
215,Rattata,Rattata (Alolan Rattata),Dark,Normal,Quick Attack,Shadow Ball
216,Rattata,Rattata (Alolan Rattata),Dark,Normal,Quick Attack,Hyper Fang
217,Rattata,Rattata (Alolan Rattata),Dark,Normal,Quick Attack,Crunch
218,Rattata,Rattata (Alolan Rattata),Dark,Normal,Tackle,Shadow Ball
219,Rattata,Rattata (Alolan Rattata),Dark,Normal,Tackle,Hyper Fang
220,Rattata,Rattata (Alolan Rattata),Dark,Normal,Tackle,Crunch
221,Raticate,Raticate,Normal,Normal,Bite,Hyper Beam
222,Raticate,Raticate,Normal,Normal,Bite,Dig
223,Raticate,Raticate,Normal,Normal,Bite,Hyper Fang
224,Raticate,Raticate,Normal,Normal,Bite,Frustration
225,Raticate,Raticate,Normal,Normal,Bite,Return
226,Raticate,Raticate,Normal,Normal,Quick Attack,Hyper Beam
227,Raticate,Raticate,Normal,Normal,Quick Attack,Dig
228,Raticate,Raticate,Normal,Normal,Quick Attack,Hyper Fang
229,Raticate,Raticate,Normal,Normal,Quick Attack,Frustration
230,Raticate,Raticate,Normal,Normal,Quick Attack,Return
231,Raticate,Raticate (Alolan Raticate),Dark,Normal,Bite,Hyper Beam
232,Raticate,Raticate (Alolan Raticate),Dark,Normal,Bite,Hyper Fang
233,Raticate,Raticate (Alolan Raticate),Dark,Normal,Bite,Crunch
234,Raticate,Raticate (Alolan Raticate),Dark,Normal,Quick Attack,Hyper Beam
235,Raticate,Raticate (Alolan Raticate),Dark,Normal,Quick Attack,Hyper Fang
236,Raticate,Raticate (Alolan Raticate),Dark,Normal,Quick Attack,Crunch
237,Spearow,Spearow,Normal,Flying,Peck,Drill Peck
238,Spearow,Spearow,Normal,Flying,Peck,Aerial Ace
239,Spearow,Spearow,Normal,Flying,Peck,Twister
240,Spearow,Spearow,Normal,Flying,Peck,Sky Attack
241,Spearow,Spearow,Normal,Flying,Quick Attack,Drill Peck
242,Spearow,Spearow,Normal,Flying,Quick Attack,Aerial Ace
243,Spearow,Spearow,Normal,Flying,Quick Attack,Twister
244,Spearow,Spearow,Normal,Flying,Quick Attack,Sky Attack
245,Fearow,Fearow,Normal,Flying,Peck,Aerial Ace
246,Fearow,Fearow,Normal,Flying,Peck,Drill Run
247,Fearow,Fearow,Normal,Flying,Peck,Twister
248,Fearow,Fearow,Normal,Flying,Peck,Sky Attack
249,Fearow,Fearow,Normal,Flying,Steel Wing,Aerial Ace
250,Fearow,Fearow,Normal,Flying,Steel Wing,Drill Run
251,Fearow,Fearow,Normal,Flying,Steel Wing,Twister
252,Fearow,Fearow,Normal,Flying,Steel Wing,Sky Attack
253,Ekans,Ekans,Poison,Flying,Acid,Wrap
254,Ekans,Ekans,Poison,Flying,Acid,Poison Fang
255,Ekans,Ekans,Poison,Flying,Acid,Sludge Bomb
256,Ekans,Ekans,Poison,Flying,Acid,Gunk Shot
257,Ekans,Ekans,Poison,Flying,Acid,Frustration
258,Ekans,Ekans,Poison,Flying,Acid,Return
259,Ekans,Ekans,Poison,Flying,Poison Sting,Wrap
260,Ekans,Ekans,Poison,Flying,Poison Sting,Poison Fang
261,Ekans,Ekans,Poison,Flying,Poison Sting,Sludge Bomb
262,Ekans,Ekans,Poison,Flying,Poison Sting,Gunk Shot
263,Ekans,Ekans,Poison,Flying,Poison Sting,Frustration
264,Ekans,Ekans,Poison,Flying,Poison Sting,Return
265,Arbok,Arbok,Poison,Flying,Bite,Dark Pulse
266,Arbok,Arbok,Poison,Flying,Bite,Sludge Wave
267,Arbok,Arbok,Poison,Flying,Bite,Gunk Shot
268,Arbok,Arbok,Poison,Flying,Bite,Acid Spray
269,Arbok,Arbok,Poison,Flying,Bite,Frustration
270,Arbok,Arbok,Poison,Flying,Bite,Return
271,Arbok,Arbok,Poison,Flying,Acid,Dark Pulse
272,Arbok,Arbok,Poison,Flying,Acid,Sludge Wave
273,Arbok,Arbok,Poison,Flying,Acid,Gunk Shot
274,Arbok,Arbok,Poison,Flying,Acid,Acid Spray
275,Arbok,Arbok,Poison,Flying,Acid,Frustration
276,Arbok,Arbok,Poison,Flying,Acid,Return
277,Arbok,Arbok,Poison,Flying,Dragon Tail,Dark Pulse
278,Arbok,Arbok,Poison,Flying,Dragon Tail,Sludge Wave
279,Arbok,Arbok,Poison,Flying,Dragon Tail,Gunk Shot
280,Arbok,Arbok,Poison,Flying,Dragon Tail,Acid Spray
281,Arbok,Arbok,Poison,Flying,Dragon Tail,Frustration
282,Arbok,Arbok,Poison,Flying,Dragon Tail,Return
283,Pikachu,Pikachu,Electric,Flying,Thunder Shock,Discharge
284,Pikachu,Pikachu,Electric,Flying,Thunder Shock,Thunder
285,Pikachu,Pikachu,Electric,Flying,Thunder Shock,Thunderbolt
286,Pikachu,Pikachu,Electric,Flying,Thunder Shock,Wild Charge
287,Pikachu,Pikachu,Electric,Flying,Thunder Shock,Surf
288,Pikachu,Pikachu,Electric,Flying,Quick Attack,Discharge
289,Pikachu,Pikachu,Electric,Flying,Quick Attack,Thunder
290,Pikachu,Pikachu,Electric,Flying,Quick Attack,Thunderbolt
291,Pikachu,Pikachu,Electric,Flying,Quick Attack,Wild Charge
292,Pikachu,Pikachu,Electric,Flying,Quick Attack,Surf
293,Pikachu,Pikachu,Electric,Flying,Present,Discharge
294,Pikachu,Pikachu,Electric,Flying,Present,Thunder
295,Pikachu,Pikachu,Electric,Flying,Present,Thunderbolt
296,Pikachu,Pikachu,Electric,Flying,Present,Wild Charge
297,Pikachu,Pikachu,Electric,Flying,Present,Surf
298,Pikachu,Pikachu (Pikachu Libre),Electric,Flying,Thunder Shock,Thunder Punch
299,Pikachu,Pikachu (Pikachu Libre),Electric,Flying,Thunder Shock,Play Rough
300,Pikachu,Pikachu (Pikachu Libre),Electric,Flying,Thunder Shock,Flying Press
301,Pikachu,Pikachu (Pikachu Libre),Electric,Flying,Charm,Thunder Punch
302,Pikachu,Pikachu (Pikachu Libre),Electric,Flying,Charm,Play Rough
303,Pikachu,Pikachu (Pikachu Libre),Electric,Flying,Charm,Flying Press
304,Pikachu,Pikachu (5-Shaped Balloon),Electric,Flying,Thunder Shock,Discharge
305,Pikachu,Pikachu (5-Shaped Balloon),Electric,Flying,Thunder Shock,Thunderbolt
306,Pikachu,Pikachu (5-Shaped Balloon),Electric,Flying,Thunder Shock,Wild Charge
307,Pikachu,Pikachu (5-Shaped Balloon),Electric,Flying,Thunder Shock,Fly
308,Pikachu,Pikachu (5-Shaped Balloon),Electric,Flying,Quick Attack,Discharge
309,Pikachu,Pikachu (5-Shaped Balloon),Electric,Flying,Quick Attack,Thunderbolt
310,Pikachu,Pikachu (5-Shaped Balloon),Electric,Flying,Quick Attack,Wild Charge
311,Pikachu,Pikachu (5-Shaped Balloon),Electric,Flying,Quick Attack,Fly
312,Pikachu,Pikachu (5-Shaped Balloon),Electric,Flying,Present,Discharge
313,Pikachu,Pikachu (5-Shaped Balloon),Electric,Flying,Present,Thunderbolt
314,Pikachu,Pikachu (5-Shaped Balloon),Electric,Flying,Present,Wild Charge
315,Pikachu,Pikachu (5-Shaped Balloon),Electric,Flying,Present,Fly
316,Pikachu,Pikachu (Pop Star),Electric,Flying,Thunder Shock,Thunder Punch
317,Pikachu,Pikachu (Pop Star),Electric,Flying,Thunder Shock,Draining Kiss
318,Pikachu,Pikachu (Pop Star),Electric,Flying,Thunder Shock,Play Rough
319,Pikachu,Pikachu (Pop Star),Electric,Flying,Charm,Thunder Punch
320,Pikachu,Pikachu (Pop Star),Electric,Flying,Charm,Draining Kiss
321,Pikachu,Pikachu (Pop Star),Electric,Flying,Charm,Play Rough
322,Pikachu,Pikachu (Rock Star),Electric,Flying,Thunder Shock,Thunder Punch
323,Pikachu,Pikachu (Rock Star),Electric,Flying,Thunder Shock,Play Rough
324,Pikachu,Pikachu (Rock Star),Electric,Flying,Thunder Shock,Meteor Mash
325,Pikachu,Pikachu (Rock Star),Electric,Flying,Charm,Thunder Punch
326,Pikachu,Pikachu (Rock Star),Electric,Flying,Charm,Play Rough
327,Pikachu,Pikachu (Rock Star),Electric,Flying,Charm,Meteor Mash
328,Raichu,Raichu,Electric,Flying,Thunder Shock,Thunder Punch
329,Raichu,Raichu,Electric,Flying,Thunder Shock,Thunder
330,Raichu,Raichu,Electric,Flying,Thunder Shock,Brick Break
331,Raichu,Raichu,Electric,Flying,Thunder Shock,Wild Charge
332,Raichu,Raichu,Electric,Flying,Thunder Shock,Skull Bash
333,Raichu,Raichu,Electric,Flying,Spark,Thunder Punch
334,Raichu,Raichu,Electric,Flying,Spark,Thunder
335,Raichu,Raichu,Electric,Flying,Spark,Brick Break
336,Raichu,Raichu,Electric,Flying,Spark,Wild Charge
337,Raichu,Raichu,Electric,Flying,Spark,Skull Bash
338,Raichu,Raichu,Electric,Flying,Volt Switch,Thunder Punch
339,Raichu,Raichu,Electric,Flying,Volt Switch,Thunder
340,Raichu,Raichu,Electric,Flying,Volt Switch,Brick Break
341,Raichu,Raichu,Electric,Flying,Volt Switch,Wild Charge
342,Raichu,Raichu,Electric,Flying,Volt Switch,Skull Bash
343,Raichu,Raichu,Electric,Flying,Charm,Thunder Punch
344,Raichu,Raichu,Electric,Flying,Charm,Thunder
345,Raichu,Raichu,Electric,Flying,Charm,Brick Break
346,Raichu,Raichu,Electric,Flying,Charm,Wild Charge
347,Raichu,Raichu,Electric,Flying,Charm,Skull Bash
348,Raichu,Raichu (Alolan Raichu),Electric,Psychic,Thunder Shock,Thunder Punch
349,Raichu,Raichu (Alolan Raichu),Electric,Psychic,Thunder Shock,Psychic
350,Raichu,Raichu (Alolan Raichu),Electric,Psychic,Thunder Shock,Wild Charge
351,Raichu,Raichu (Alolan Raichu),Electric,Psychic,Thunder Shock,Grass Knot
352,Raichu,Raichu (Alolan Raichu),Electric,Psychic,Spark,Thunder Punch
353,Raichu,Raichu (Alolan Raichu),Electric,Psychic,Spark,Psychic
354,Raichu,Raichu (Alolan Raichu),Electric,Psychic,Spark,Wild Charge
355,Raichu,Raichu (Alolan Raichu),Electric,Psychic,Spark,Grass Knot
356,Raichu,Raichu (Alolan Raichu),Electric,Psychic,Volt Switch,Thunder Punch
357,Raichu,Raichu (Alolan Raichu),Electric,Psychic,Volt Switch,Psychic
358,Raichu,Raichu (Alolan Raichu),Electric,Psychic,Volt Switch,Wild Charge
359,Raichu,Raichu (Alolan Raichu),Electric,Psychic,Volt Switch,Grass Knot
360,Sandshrew,Sandshrew,Ground,Psychic,Mud Shot,Dig
361,Sandshrew,Sandshrew,Ground,Psychic,Mud Shot,Rock Tomb
362,Sandshrew,Sandshrew,Ground,Psychic,Mud Shot,Rock Slide
363,Sandshrew,Sandshrew,Ground,Psychic,Mud Shot,Sand Tomb
364,Sandshrew,Sandshrew,Ground,Psychic,Mud Shot,Frustration
365,Sandshrew,Sandshrew,Ground,Psychic,Mud Shot,Return
366,Sandshrew,Sandshrew,Ground,Psychic,Scratch,Dig
367,Sandshrew,Sandshrew,Ground,Psychic,Scratch,Rock Tomb
368,Sandshrew,Sandshrew,Ground,Psychic,Scratch,Rock Slide
369,Sandshrew,Sandshrew,Ground,Psychic,Scratch,Sand Tomb
370,Sandshrew,Sandshrew,Ground,Psychic,Scratch,Frustration
371,Sandshrew,Sandshrew,Ground,Psychic,Scratch,Return
372,Sandshrew,Sandshrew (Alolan Sandshrew),Ice,Steel,Metal Claw,Blizzard
373,Sandshrew,Sandshrew (Alolan Sandshrew),Ice,Steel,Metal Claw,Night Slash
374,Sandshrew,Sandshrew (Alolan Sandshrew),Ice,Steel,Metal Claw,Gyro Ball
375,Sandshrew,Sandshrew (Alolan Sandshrew),Ice,Steel,Powder Snow,Blizzard
376,Sandshrew,Sandshrew (Alolan Sandshrew),Ice,Steel,Powder Snow,Night Slash
377,Sandshrew,Sandshrew (Alolan Sandshrew),Ice,Steel,Powder Snow,Gyro Ball
378,Sandslash,Sandslash,Ground,Steel,Mud Shot,Earthquake
379,Sandslash,Sandslash,Ground,Steel,Mud Shot,Rock Tomb
380,Sandslash,Sandslash,Ground,Steel,Mud Shot,Bulldoze
381,Sandslash,Sandslash,Ground,Steel,Mud Shot,Frustration
382,Sandslash,Sandslash,Ground,Steel,Mud Shot,Return
383,Sandslash,Sandslash,Ground,Steel,Metal Claw,Earthquake
384,Sandslash,Sandslash,Ground,Steel,Metal Claw,Rock Tomb
385,Sandslash,Sandslash,Ground,Steel,Metal Claw,Bulldoze
386,Sandslash,Sandslash,Ground,Steel,Metal Claw,Frustration
387,Sandslash,Sandslash,Ground,Steel,Metal Claw,Return
388,Sandslash,Sandslash (Alolan Sandslash),Ice,Steel,Metal Claw,Ice Punch
389,Sandslash,Sandslash (Alolan Sandslash),Ice,Steel,Metal Claw,Blizzard
390,Sandslash,Sandslash (Alolan Sandslash),Ice,Steel,Metal Claw,Bulldoze
391,Sandslash,Sandslash (Alolan Sandslash),Ice,Steel,Metal Claw,Gyro Ball
392,Sandslash,Sandslash (Alolan Sandslash),Ice,Steel,Powder Snow,Ice Punch
393,Sandslash,Sandslash (Alolan Sandslash),Ice,Steel,Powder Snow,Blizzard
