ID,Name,Full Name,Type 1,Type 2,Fast Move,Fast Move Type,Power,Turns,Energy,Charge Move,Charge Move Type,Power,Energy,Charge Time,Fast DPS,Charge DPS,Total DPS
19,Ivysaur,Ivysaur,Grass,Poison,Razor Leaf,Grass,10,2,4,Frustration,Normal,10,70,18,9,0.44,9.44
20,Ivysaur,Ivysaur,Grass,Poison,Razor Leaf,Grass,10,2,4,Return,Normal,130,70,18,9,5.11,14.11
21,Venusaur,Venusaur,Grass,Poison,Vine Whip,Grass,5,3,8,Petal Blizzard,Grass,110,65,13.5,3.33,7.93,11.26
22,Venusaur,Venusaur,Grass,Poison,Vine Whip,Grass,5,3,8,Sludge Bomb,Poison,80,50,10.5,3.33,6.19,9.52
23,Venusaur,Venusaur,Grass,Poison,Vine Whip,Grass,5,3,8,Solar Beam,Grass,150,80,15,3.33,9.73,13.06
24,Venusaur,Venusaur,Grass,Poison,Vine Whip,Grass,5,3,8,Frenzy Plant,Grass,100,45,9,3.33,10.78,14.11
25,Venusaur,Venusaur,Grass,Poison,Vine Whip,Grass,5,3,8,Frustration,Normal,10,70,13.5,3.33,0.67,4
26,Venusaur,Venusaur,Grass,Poison,Vine Whip,Grass,5,3,8,Return,Normal,130,70,13.5,3.33,7.78,11.11
27,Venusaur,Venusaur,Grass,Poison,Razor Leaf,Grass,10,2,4,Petal Blizzard,Grass,110,65,17,10,6.29,16.29
28,Venusaur,Venusaur,Grass,Poison,Razor Leaf,Grass,10,2,4,Sludge Bomb,Poison,80,50,13,10,5,15
29,Venusaur,Venusaur,Grass,Poison,Razor Leaf,Grass,10,2,4,Solar Beam,Grass,150,80,20,10,7.3,17.3
30,Venusaur,Venusaur,Grass,Poison,Razor Leaf,Grass,10,2,4,Frenzy Plant,Grass,100,45,12,10,8.08,18.08
31,Venusaur,Venusaur,Grass,Poison,Razor Leaf,Grass,10,2,4,Frustration,Normal,10,70,18,10,0.5,10.5
32,Venusaur,Venusaur,Grass,Poison,Razor Leaf,Grass,10,2,4,Return,Normal,130,70,18,10,5.83,15.83
33,Charmander,Charmander,Fire,Poison,Ember,Fire,7,2,6,Flamethrower,Fire,90,55,10,5,6,11
34,Charmander,Charmander,Fire,Poison,Ember,Fire,7,2,6,Flame Charge,Fire,65,50,9,5,4.89,9.89
35,Charmander,Charmander,Fire,Poison,Ember,Fire,7,2,6,Flame Burst,Fire,70,55,10,5,4.7,9.7
36,Charmander,Charmander,Fire,Poison,Ember,Fire,7,2,6,Frustration,Normal,10,70,12,5,0.5,5.5
37,Charmander,Charmander,Fire,Poison,Ember,Fire,7,2,6,Return,Normal,130,70,12,5,6,11
38,Charmander,Charmander,Fire,Poison,Scratch,Normal,4,1,2,Flamethrower,Fire,90,55,14,6,4.29,10.29
39,Charmander,Charmander,Fire,Poison,Scratch,Normal,4,1,2,Flame Charge,Fire,65,50,12.5,6,3.52,9.52
40,Charmander,Charmander,Fire,Poison,Scratch,Normal,4,1,2,Flame Burst,Fire,70,55,14,6,3.36,9.36
41,Charmander,Charmander,Fire,Poison,Scratch,Normal,4,1,2,Frustration,Normal,10,70,17.5,6,0.34,6.34
42,Charmander,Charmander,Fire,Poison,Scratch,Normal,4,1,2,Return,Normal,130,70,17.5,6,4.11,10.11
43,Charmeleon,Charmeleon,Fire,Poison,Ember,Fire,7,2,6,Flamethrower,Fire,90,55,10,7,7.9,14.9
44,Charmeleon,Charmeleon,Fire,Poison,Ember,Fire,7,2,6,Flame Burst,Fire,70,55,10,7,6.2,13.2
45,Charmeleon,Charmeleon,Fire,Poison,Ember,Fire,7,2,6,Fire Punch,Fire,55,40,7,7,7,14
46,Charmeleon,Charmeleon,Fire,Poison,Ember,Fire,7,2,6,Frustration,Normal,10,70,12,7,0.67,7.67
47,Charmeleon,Charmeleon,Fire,Poison,Ember,Fire,7,2,6,Return,Normal,130,70,12,7,8,15
48,Charmeleon,Charmeleon,Fire,Poison,Scratch,Normal,4,1,2,Flamethrower,Fire,90,55,14,6,5.64,11.64
49,Charmeleon,Charmeleon,Fire,Poison,Scratch,Normal,4,1,2,Flame Burst,Fire,70,55,14,6,4.43,10.43
50,Charmeleon,Charmeleon,Fire,Poison,Scratch,Normal,4,1,2,Fire Punch,Fire,55,40,10,6,4.9,10.9
51,Charmeleon,Charmeleon,Fire,Poison,Scratch,Normal,4,1,2,Frustration,Normal,10,70,17.5,6,0.46,6.46
52,Charmeleon,Charmeleon,Fire,Poison,Scratch,Normal,4,1,2,Return,Normal,130,70,17.5,6,5.49,11.49
53,Charmeleon,Charmeleon,Fire,Poison,Fire Fang,Fire,8,2,5,Flamethrower,Fire,90,55,11,8,7.18,15.18
54,Charmeleon,Charmeleon,Fire,Poison,Fire Fang,Fire,8,2,5,Flame Burst,Fire,70,55,11,8,5.64,13.64
55,Charmeleon,Charmeleon,Fire,Poison,Fire Fang,Fire,8,2,5,Fire Punch,Fire,55,40,8,8,6.12,14.12
56,Charmeleon,Charmeleon,Fire,Poison,Fire Fang,Fire,8,2,5,Frustration,Normal,10,70,14,8,0.57,8.57
57,Charmeleon,Charmeleon,Fire,Poison,Fire Fang,Fire,8,2,5,Return,Normal,130,70,14,8,6.86,14.86
58,Charizard,Charizard,Fire,Flying,Dragon Breath,Dragon,4,1,3,Flamethrower,Fire,90,55,9.5,8,10,18
59,Charizard,Charizard,Fire,Flying,Dragon Breath,Dragon,4,1,3,Dragon Claw,Dragon,50,35,6,8,7.33,15.33
60,Charizard,Charizard,Fire,Flying,Dragon Breath,Dragon,4,1,3,Fire Blast,Fire,140,80,13.5,8,10.96,18.96
61,Charizard,Charizard,Fire,Flying,Dragon Breath,Dragon,4,1,3,Overheat,Fire,130,55,9.5,8,14.42,22.42
62,Charizard,Charizard,Fire,Flying,Dragon Breath,Dragon,4,1,3,Blast Burn,Fire,110,50,8.5,8,13.65,21.65
63,Charizard,Charizard,Fire,Flying,Dragon Breath,Dragon,4,1,3,Frustration,Normal,10,70,12,8,0.75,8.75
64,Charizard,Charizard,Fire,Flying,Dragon Breath,Dragon,4,1,3,Return,Normal,130,70,12,8,9.5,17.5
65,Charizard,Charizard,Fire,Flying,Ember,Fire,7,2,6,Flamethrower,Fire,90,55,10,8,9.5,17.5
66,Charizard,Charizard,Fire,Flying,Ember,Fire,7,2,6,Dragon Claw,Dragon,50,35,6,8,7.33,15.33
67,Charizard,Charizard,Fire,Flying,Ember,Fire,7,2,6,Fire Blast,Fire,140,80,14,8,10.57,18.57
68,Charizard,Charizard,Fire,Flying,Ember,Fire,7,2,6,Overheat,Fire,130,55,10,8,13.7,21.7
69,Charizard,Charizard,Fire,Flying,Ember,Fire,7,2,6,Blast Burn,Fire,110,50,9,8,12.89,20.89
70,Charizard,Charizard,Fire,Flying,Ember,Fire,7,2,6,Frustration,Normal,10,70,12,8,0.75,8.75
71,Charizard,Charizard,Fire,Flying,Ember,Fire,7,2,6,Return,Normal,130,70,12,8,9.5,17.5
72,Charizard,Charizard,Fire,Flying,Wing Attack,Flying,5,2,7,Flamethrower,Fire,90,55,8,5,11.88,16.88
73,Charizard,Charizard,Fire,Flying,Wing Attack,Flying,5,2,7,Dragon Claw,Dragon,50,35,5,5,8.8,13.8
74,Charizard,Charizard,Fire,Flying,Wing Attack,Flying,5,2,7,Fire Blast,Fire,140,80,12,5,12.33,17.33
75,Charizard,Charizard,Fire,Flying,Wing Attack,Flying,5,2,7,Overheat,Fire,130,55,8,5,17.12,22.12
76,Charizard,Charizard,Fire,Flying,Wing Attack,Flying,5,2,7,Blast Burn,Fire,110,50,8,5,14.5,19.5
77,Charizard,Charizard,Fire,Flying,Wing Attack,Flying,5,2,7,Frustration,Normal,10,70,10,5,0.9,5.9
78,Charizard,Charizard,Fire,Flying,Wing Attack,Flying,5,2,7,Return,Normal,130,70,10,5,11.4,16.4
79,Charizard,Charizard,Fire,Flying,Air Slash,Flying,9,3,9,Flamethrower,Fire,90,55,10.5,5.33,9.05,14.38
80,Charizard,Charizard,Fire,Flying,Air Slash,Flying,9,3,9,Dragon Claw,Dragon,50,35,6,5.33,7.33,12.66
81,Charizard,Charizard,Fire,Flying,Air Slash,Flying,9,3,9,Fire Blast,Fire,140,80,13.5,5.33,10.96,16.29
82,Charizard,Charizard,Fire,Flying,Air Slash,Flying,9,3,9,Overheat,Fire,130,55,10.5,5.33,13.05,18.38
83,Charizard,Charizard,Fire,Flying,Air Slash,Flying,9,3,9,Blast Burn,Fire,110,50,9,5.33,12.89,18.22
84,Charizard,Charizard,Fire,Flying,Air Slash,Flying,9,3,9,Frustration,Normal,10,70,12,5.33,0.75,6.08
85,Charizard,Charizard,Fire,Flying,Air Slash,Flying,9,3,9,Return,Normal,130,70,12,5.33,9.5,14.83
86,Charizard,Charizard,Fire,Flying,Fire Spin,Fire,9,3,10,Flamethrower,Fire,90,55,9,6.67,10.56,17.23
87,Charizard,Charizard,Fire,Flying,Fire Spin,Fire,9,3,10,Dragon Claw,Dragon,50,35,6,6.67,7.33,14
88,Charizard,Charizard,Fire,Flying,Fire Spin,Fire,9,3,10,Fire Blast,Fire,140,80,12,6.67,12.33,19
89,Charizard,Charizard,Fire,Flying,Fire Spin,Fire,9,3,10,Overheat,Fire,130,55,9,6.67,15.22,21.89
90,Charizard,Charizard,Fire,Flying,Fire Spin,Fire,9,3,10,Blast Burn,Fire,110,50,7.5,6.67,15.47,22.14
91,Charizard,Charizard,Fire,Flying,Fire Spin,Fire,9,3,10,Frustration,Normal,10,70,10.5,6.67,0.86,7.53
92,Charizard,Charizard,Fire,Flying,Fire Spin,Fire,9,3,10,Return,Normal,130,70,10.5,6.67,10.86,17.53
93,Squirtle,Squirtle,Water,Flying,Tackle,Normal,3,1,2,Aqua Jet,Water,45,45,11.5,4,2.17,6.17
94,Squirtle,Squirtle,Water,Flying,Tackle,Normal,3,1,2,Aqua Tail,Water,50,35,9,4,3.11,7.11
95,Squirtle,Squirtle,Water,Flying,Tackle,Normal,3,1,2,Water Pulse,Water,70,60,15,4,2.6,6.6
96,Squirtle,Squirtle,Water,Flying,Tackle,Normal,3,1,2,Frustration,Normal,10,70,17.5,4,0.29,4.29
97,Squirtle,Squirtle,Water,Flying,Tackle,Normal,3,1,2,Return,Normal,130,70,17.5,4,3.43,7.43
98,Squirtle,Squirtle,Water,Flying,Bubble,Water,7,3,11,Aqua Jet,Water,45,45,7.5,2.67,3.33,6
99,Squirtle,Squirtle,Water,Flying,Bubble,Water,7,3,11,Aqua Tail,Water,50,35,6,2.67,4.67,7.34
100,Squirtle,Squirtle,Water,Flying,Bubble,Water,7,3,11,Water Pulse,Water,70,60,9,2.67,4.33,7
101,Squirtle,Squirtle,Water,Flying,Bubble,Water,7,3,11,Frustration,Normal,10,70,10.5,2.67,0.48,3.15
102,Squirtle,Squirtle,Water,Flying,Bubble,Water,7,3,11,Return,Normal,130,70,10.5,2.67,5.71,8.38
103,Wartortle,Wartortle,Water,Flying,Bite,Dark,4,1,2,Ice Beam,Ice,90,55,14,6,3.86,9.86
104,Wartortle,Wartortle,Water,Flying,Bite,Dark,4,1,2,Aqua Jet,Water,45,45,11.5,6,2.87,8.87
105,Wartortle,Wartortle,Water,Flying,Bite,Dark,4,1,2,Hydro Pump,Water,130,75,19,6,4.89,10.89
106,Wartortle,Wartortle,Water,Flying,Bite,Dark,4,1,2,Frustration,Normal,10,70,17.5,6,0.34,6.34
107,Wartortle,Wartortle,Water,Flying,Bite,Dark,4,1,2,Return,Normal,130,70,17.5,6,4.46,10.46
108,Wartortle,Wartortle,Water,Flying,Water Gun,Water,3,1,3,Ice Beam,Ice,90,55,9.5,6,5.68,11.68
109,Wartortle,Wartortle,Water,Flying,Water Gun,Water,3,1,3,Aqua Jet,Water,45,45,7.5,6,4.4,10.4
110,Wartortle,Wartortle,Water,Flying,Water Gun,Water,3,1,3,Hydro Pump,Water,130,75,12.5,6,7.44,13.44
111,Wartortle,Wartortle,Water,Flying,Water Gun,Water,3,1,3,Frustration,Normal,10,70,12,6,0.5,6.5
112,Wartortle,Wartortle,Water,Flying,Water Gun,Water,3,1,3,Return,Normal,130,70,12,6,6.5,12.5
113,Blastoise,Blastoise,Water,Flying,Bite,Dark,4,1,2,Flash Cannon,Steel,110,70,17.5,6,4.69,10.69
114,Blastoise,Blastoise,Water,Flying,Bite,Dark,4,1,2,Ice Beam,Ice,90,55,14,6,4.79,10.79
115,Blastoise,Blastoise,Water,Flying,Bite,Dark,4,1,2,Hydro Pump,Water,130,75,19,6,6.11,12.11
116,Blastoise,Blastoise,Water,Flying,Bite,Dark,4,1,2,Hydro Cannon,Water,80,40,10,6,7.2,13.2
117,Blastoise,Blastoise,Water,Flying,Bite,Dark,4,1,2,Skull Bash,Normal,130,75,19,6,5.11,11.11
118,Blastoise,Blastoise,Water,Flying,Bite,Dark,4,1,2,Frustration,Normal,10,70,17.5,6,0.46,6.46
119,Blastoise,Blastoise,Water,Flying,Bite,Dark,4,1,2,Return,Normal,130,70,17.5,6,5.54,11.54
120,Blastoise,Blastoise,Water,Flying,Water Gun,Water,3,1,3,Flash Cannon,Steel,110,70,12,6,6.83,12.83
121,Blastoise,Blastoise,Water,Flying,Water Gun,Water,3,1,3,Ice Beam,Ice,90,55,9.5,6,7.05,13.05
122,Blastoise,Blastoise,Water,Flying,Water Gun,Water,3,1,3,Hydro Pump,Water,130,75,12.5,6,9.28,15.28
123,Blastoise,Blastoise,Water,Flying,Water Gun,Water,3,1,3,Hydro Cannon,Water,80,40,7,6,10.29,16.29
124,Blastoise,Blastoise,Water,Flying,Water Gun,Water,3,1,3,Skull Bash,Normal,130,75,12.5,6,7.76,13.76
125,Blastoise,Blastoise,Water,Flying,Water Gun,Water,3,1,3,Frustration,Normal,10,70,12,6,0.67,6.67
126,Blastoise,Blastoise,Water,Flying,Water Gun,Water,3,1,3,Return,Normal,130,70,12,6,8.08,14.08
127,Caterpie,Caterpie,Bug,Flying,Bug Bite,Bug,3,1,3,Struggle,Normal,35,100,17,4,0.65,4.65
128,Caterpie,Caterpie,Bug,Flying,Tackle,Normal,3,1,2,Struggle,Normal,35,100,25,2,0.44,2.44
129,Metapod,Metapod,Bug,Flying,Bug Bite,Bug,3,1,3,Struggle,Normal,35,100,17,2,0.53,2.53
130,Metapod,Metapod,Bug,Flying,Tackle,Normal,3,1,2,Struggle,Normal,35,100,25,2,0.36,2.36
131,Butterfree,Butterfree,Bug,Flying,Bug Bite,Bug,3,1,3,Bug Buzz,Bug,90,60,10,6,8.4,14.4
132,Butterfree,Butterfree,Bug,Flying,Bug Bite,Bug,3,1,3,Signal Beam,Bug,75,55,9.5,6,7.37,13.37
133,Butterfree,Butterfree,Bug,Flying,Bug Bite,Bug,3,1,3,Psychic,Psychic,90,55,9.5,6,7.37,13.37
134,Butterfree,Butterfree,Bug,Flying,Confusion,Psychic,16,4,12,Bug Buzz,Bug,90,60,10,6.5,8.4,14.9
135,Butterfree,Butterfree,Bug,Flying,Confusion,Psychic,16,4,12,Signal Beam,Bug,75,55,10,6.5,7,13.5
136,Butterfree,Butterfree,Bug,Flying,Confusion,Psychic,16,4,12,Psychic,Psychic,90,55,10,6.5,7,13.5
137,Butterfree,Butterfree,Bug,Flying,Struggle Bug,Bug,9,3,8,Bug Buzz,Bug,90,60,12,6,7,13
138,Butterfree,Butterfree,Bug,Flying,Struggle Bug,Bug,9,3,8,Signal Beam,Bug,75,55,10.5,6,6.67,12.67
139,Butterfree,Butterfree,Bug,Flying,Struggle Bug,Bug,9,3,8,Psychic,Psychic,90,55,10.5,6,6.67,12.67
140,Weedle,Weedle,Bug,Poison,Bug Bite,Bug,3,1,3,Struggle,Normal,35,100,17,4,0.71,4.71
141,Weedle,Weedle,Bug,Poison,Bug Bite,Bug,3,1,3,Frustration,Normal,10,70,12,4,0.33,4.33
142,Weedle,Weedle,Bug,Poison,Bug Bite,Bug,3,1,3,Return,Normal,130,70,12,4,3.58,7.58
143,Weedle,Weedle,Bug,Poison,Poison Sting,Poison,3,2,9,Struggle,Normal,35,100,12,1,1,2
144,Weedle,Weedle,Bug,Poison,Poison Sting,Poison,3,2,9,Frustration,Normal,10,70,8,1,0.5,1.5
145,Weedle,Weedle,Bug,Poison,Poison Sting,Poison,3,2,9,Return,Normal,130,70,8,1,5.38,6.38
146,Kakuna,Kakuna,Bug,Poison,Bug Bite,Bug,3,1,3,Struggle,Normal,35,100,17,2,0.59,2.59
147,Kakuna,Kakuna,Bug,Poison,Bug Bite,Bug,3,1,3,Frustration,Normal,10,70,12,2,0.25,2.25
148,Kakuna,Kakuna,Bug,Poison,Bug Bite,Bug,3,1,3,Return,Normal,130,70,12,2,2.83,4.83
149,Kakuna,Kakuna,Bug,Poison,Poison Sting,Poison,3,2,9,Struggle,Normal,35,100,12,1,0.83,1.83
150,Kakuna,Kakuna,Bug,Poison,Poison Sting,Poison,3,2,9,Frustration,Normal,10,70,8,1,0.38,1.38
151,Kakuna,Kakuna,Bug,Poison,Poison Sting,Poison,3,2,9,Return,Normal,130,70,8,1,4.25,5.25
152,Beedrill,Beedrill,Bug,Poison,Bug Bite,Bug,3,1,3,Aerial Ace,Flying,55,45,7.5,6,5.73,11.73
153,Beedrill,Beedrill,Bug,Poison,Bug Bite,Bug,3,1,3,Drill Run,Ground,80,45,7.5,6,8.4,14.4
154,Beedrill,Beedrill,Bug,Poison,Bug Bite,Bug,3,1,3,Sludge Bomb,Poison,80,50,8.5,6,7.41,13.41
155,Beedrill,Beedrill,Bug,Poison,Bug Bite,Bug,3,1,3,X-Scissor,Bug,45,35,6,6,7,13
156,Beedrill,Beedrill,Bug,Poison,Bug Bite,Bug,3,1,3,Fell Stinger,Bug,20,35,6,6,3.17,9.17
157,Beedrill,Beedrill,Bug,Poison,Bug Bite,Bug,3,1,3,Frustration,Normal,10,70,12,6,0.67,6.67
158,Beedrill,Beedrill,Bug,Poison,Bug Bite,Bug,3,1,3,Return,Normal,130,70,12,6,8.5,14.5
159,Beedrill,Beedrill,Bug,Poison,Poison Jab,Poison,7,2,7,Aerial Ace,Flying,55,45,7,6,6.14,12.14
160,Beedrill,Beedrill,Bug,Poison,Poison Jab,Poison,7,2,7,Drill Run,Ground,80,45,7,6,9,15
161,Beedrill,Beedrill,Bug,Poison,Poison Jab,Poison,7,2,7,Sludge Bomb,Poison,80,50,8,6,7.88,13.88
162,Beedrill,Beedrill,Bug,Poison,Poison Jab,Poison,7,2,7,X-Scissor,Bug,45,35,5,6,8.4,14.4
163,Beedrill,Beedrill,Bug,Poison,Poison Jab,Poison,7,2,7,Fell Stinger,Bug,20,35,5,6,3.8,9.8
164,Beedrill,Beedrill,Bug,Poison,Poison Jab,Poison,7,2,7,Frustration,Normal,10,70,10,6,0.8,6.8
165,Beedrill,Beedrill,Bug,Poison,Poison Jab,Poison,7,2,7,Return,Normal,130,70,10,6,10.2,16.2
166,Beedrill,Beedrill,Bug,Poison,Infestation,Bug,6,3,12,Aerial Ace,Flying,55,45,6,4,7.17,11.17
167,Beedrill,Beedrill,Bug,Poison,Infestation,Bug,6,3,12,Drill Run,Ground,80,45,6,4,10.5,14.5
168,Beedrill,Beedrill,Bug,Poison,Infestation,Bug,6,3,12,Sludge Bomb,Poison,80,50,7.5,4,8.4,12.4
169,Beedrill,Beedrill,Bug,Poison,Infestation,Bug,6,3,12,X-Scissor,Bug,45,35,4.5,4,9.33,13.33
170,Beedrill,Beedrill,Bug,Poison,Infestation,Bug,6,3,12,Fell Stinger,Bug,20,35,4.5,4,4.22,8.22
171,Beedrill,Beedrill,Bug,Poison,Infestation,Bug,6,3,12,Frustration,Normal,10,70,9,4,0.89,4.89
172,Beedrill,Beedrill,Bug,Poison,Infestation,Bug,6,3,12,Return,Normal,130,70,9,4,11.33,15.33
173,Pidgey,Pidgey,Normal,Flying,Quick Attack,Normal,5,2,7,Aerial Ace,Flying,55,45,7,3,3.43,6.43
174,Pidgey,Pidgey,Normal,Flying,Quick Attack,Normal,5,2,7,Twister,Dragon,45,45,7,3,2.86,5.86
175,Pidgey,Pidgey,Normal,Flying,Quick Attack,Normal,5,2,7,Air Cutter,Flying,60,55,8,3,3.25,6.25
176,Pidgey,Pidgey,Normal,Flying,Tackle,Normal,3,1,2,Aerial Ace,Flying,55,45,11.5,4,2.09,6.09
177,Pidgey,Pidgey,Normal,Flying,Tackle,Normal,3,1,2,Twister,Dragon,45,45,11.5,4,1.74,5.74
178,Pidgey,Pidgey,Normal,Flying,Tackle,Normal,3,1,2,Air Cutter,Flying,60,55,14,4,1.86,5.86
179,Pidgeotto,Pidgeotto,Normal,Flying,Wing Attack,Flying,5,2,7,Aerial Ace,Flying,55,45,7,3,4.43,7.43
180,Pidgeotto,Pidgeotto,Normal,Flying,Wing Attack,Flying,5,2,7,Twister,Dragon,45,45,7,3,3.71,6.71
181,Pidgeotto,Pidgeotto,Normal,Flying,Wing Attack,Flying,5,2,7,Air Cutter,Flying,60,55,8,3,4.25,7.25
182,Pidgeotto,Pidgeotto,Normal,Flying,Steel Wing,Steel,7,2,5,Aerial Ace,Flying,55,45,9,4,3.44,7.44
183,Pidgeotto,Pidgeotto,Normal,Flying,Steel Wing,Steel,7,2,5,Twister,Dragon,45,45,9,4,2.89,6.89
184,Pidgeotto,Pidgeotto,Normal,Flying,Steel Wing,Steel,7,2,5,Air Cutter,Flying,60,55,11,4,3.09,7.09
185,Pidgeot,Pidgeot,Normal,Flying,Wing Attack,Flying,5,2,7,Aerial Ace,Flying,55,45,7,4,6.14,10.14
186,Pidgeot,Pidgeot,Normal,Flying,Wing Attack,Flying,5,2,7,Air Cutter,Flying,60,55,8,4,5.75,9.75
187,Pidgeot,Pidgeot,Normal,Flying,Wing Attack,Flying,5,2,7,Hurricane,Flying,110,65,10,4,8.5,12.5
188,Pidgeot,Pidgeot,Normal,Flying,Wing Attack,Flying,5,2,7,Brave Bird,Flying,130,55,8,4,12.5,16.5
189,Pidgeot,Pidgeot,Normal,Flying,Wing Attack,Flying,5,2,7,Feather Dance,Flying,35,50,8,4,3.38,7.38
190,Pidgeot,Pidgeot,Normal,Flying,Steel Wing,Steel,7,2,5,Aerial Ace,Flying,55,45,9,6,4.78,10.78
191,Pidgeot,Pidgeot,Normal,Flying,Steel Wing,Steel,7,2,5,Air Cutter,Flying,60,55,11,6,4.18,10.18
192,Pidgeot,Pidgeot,Normal,Flying,Steel Wing,Steel,7,2,5,Hurricane,Flying,110,65,13,6,6.54,12.54
193,Pidgeot,Pidgeot,Normal,Flying,Steel Wing,Steel,7,2,5,Brave Bird,Flying,130,55,11,6,9.09,15.09
194,Pidgeot,Pidgeot,Normal,Flying,Steel Wing,Steel,7,2,5,Feather Dance,Flying,35,50,10,6,2.7,8.7
195,Pidgeot,Pidgeot,Normal,Flying,Air Slash,Flying,9,3,9,Aerial Ace,Flying,55,45,7.5,4.67,5.73,10.4
196,Pidgeot,Pidgeot,Normal,Flying,Air Slash,Flying,9,3,9,Air Cutter,Flying,60,55,10.5,4.67,4.38,9.05
197,Pidgeot,Pidgeot,Normal,Flying,Air Slash,Flying,9,3,9,Hurricane,Flying,110,65,12,4.67,7.08,11.75
198,Pidgeot,Pidgeot,Normal,Flying,Air Slash,Flying,9,3,9,Brave Bird,Flying,130,55,10.5,4.67,9.52,14.19
199,Pidgeot,Pidgeot,Normal,Flying,Air Slash,Flying,9,3,9,Feather Dance,Flying,35,50,9,4.67,3,7.67
200,Pidgeot,Pidgeot,Normal,Flying,Gust,Flying,16,5,12,Aerial Ace,Flying,55,45,10,5.2,4.3,9.5
201,Pidgeot,Pidgeot,Normal,Flying,Gust,Flying,16,5,12,Air Cutter,Flying,60,55,12.5,5.2,3.68,8.88
202,Pidgeot,Pidgeot,Normal,Flying,Gust,Flying,16,5,12,Hurricane,Flying,110,65,15,5.2,5.67,10.87
203,Pidgeot,Pidgeot,Normal,Flying,Gust,Flying,16,5,12,Brave Bird,Flying,130,55,12.5,5.2,8,13.2
204,Pidgeot,Pidgeot,Normal,Flying,Gust,Flying,16,5,12,Feather Dance,Flying,35,50,12.5,5.2,2.16,7.36
205,Rattata,Rattata,Normal,Flying,Quick Attack,Normal,5,2,7,Dig,Ground,100,80,12,3,4.17,7.17
206,Rattata,Rattata,Normal,Flying,Quick Attack,Normal,5,2,7,Hyper Fang,Normal,80,50,8,3,6,9
207,Rattata,Rattata,Normal,Flying,Quick Attack,Normal,5,2,7,Body Slam,Normal,60,35,5,3,7.2,10.2
208,Rattata,Rattata,Normal,Flying,Quick Attack,Normal,5,2,7,Frustration,Normal,10,70,10,3,0.6,3.6
209,Rattata,Rattata,Normal,Flying,Quick Attack,Normal,5,2,7,Return,Normal,130,70,10,3,7.8,10.8
210,Rattata,Rattata,Normal,Flying,Tackle,Normal,3,1,2,Dig,Ground,100,80,20,4,2.5,6.5
211,Rattata,Rattata,Normal,Flying,Tackle,Normal,3,1,2,Hyper Fang,Normal,80,50,12.5,4,3.84,7.84
212,Rattata,Rattata,Normal,Flying,Tackle,Normal,3,1,2,Body Slam,Normal,60,35,9,4,4,8
