ID,Name,Full Name,Fast Move,Charge Move
39,Charmeleon,Charmeleon,Scratch,Fire Punch
40,Charmeleon,Charmeleon,Scratch,Frustration
41,Charmeleon,Charmeleon,Fire Fang,Flamethrower
42,Charmeleon,Charmeleon,Fire Fang,Flame Burst
43,Charmeleon,Charmeleon,Fire Fang,Fire Punch
44,Charmeleon,Charmeleon,Fire Fang,Frustration
45,Charizard,Charizard,Dragon Breath,Flamethrower
46,Charizard,Charizard,Air Slash,Flamethrower
47,Charizard,Charizard,Fire Spin,Flamethrower
48,Squirtle,Squirtle,Tackle,Aqua Jet
49,Squirtle,Squirtle,Tackle,Aqua Tail
50,Squirtle,Squirtle,Tackle,Water Pulse
51,Squirtle,Squirtle,Tackle,Frustration
52,Squirtle,Squirtle,Bubble,Aqua Jet
53,Squirtle,Squirtle,Bubble,Aqua Tail
54,Squirtle,Squirtle,Bubble,Water Pulse
55,Squirtle,Squirtle,Bubble,Frustration
56,Wartortle,Wartortle,Bite,Ice Beam
57,Wartortle,Wartortle,Bite,Aqua Jet
58,Wartortle,Wartortle,Bite,Hydro Pump
59,Wartortle,Wartortle,Bite,Frustration
60,Wartortle,Wartortle,Water Gun,Ice Beam
61,Wartortle,Wartortle,Water Gun,Aqua Jet
62,Wartortle,Wartortle,Water Gun,Hydro Pump
63,Wartortle,Wartortle,Water Gun,Frustration
64,Blastoise,Blastoise,Bite,Flash Cannon
65,Blastoise,Blastoise,Bite,Ice Beam
66,Blastoise,Blastoise,Bite,Hydro Pump
67,Blastoise,Blastoise,Bite,Hydro Cannon
68,Blastoise,Blastoise,Water Gun,Flash Cannon
69,Blastoise,Blastoise,Water Gun,Ice Beam
70,Blastoise,Blastoise,Water Gun,Hydro Pump
71,Blastoise,Blastoise,Water Gun,Hydro Cannon
72,Caterpie,Caterpie,Bug Bite,Struggle
73,Caterpie,Caterpie,Tackle,Struggle
74,Metapod,Metapod,Bug Bite,Struggle
75,Metapod,Metapod,Tackle,Struggle
76,Butterfree,Butterfree,Bug Bite,Bug Buzz
77,Butterfree,Butterfree,Bug Bite,Signal Beam
78,Butterfree,Butterfree,Bug Bite,Psychic
79,Butterfree,Butterfree,Confusion,Bug Buzz
80,Butterfree,Butterfree,Confusion,Signal Beam
81,Butterfree,Butterfree,Confusion,Psychic
82,Butterfree,Butterfree,Struggle Bug,Bug Buzz
83,Butterfree,Butterfree,Struggle Bug,Signal Beam
84,Butterfree,Butterfree,Struggle Bug,Psychic
85,Weedle,Weedle,Bug Bite,Struggle
86,Weedle,Weedle,Bug Bite,Frustration
87,Weedle,Weedle,Poison Sting,Struggle
88,Weedle,Weedle,Poison Sting,Frustration
89,Kakuna,Kakuna,Bug Bite,Struggle
90,Kakuna,Kakuna,Bug Bite,Frustration
91,Kakuna,Kakuna,Poison Sting,Struggle
92,Kakuna,Kakuna,Poison Sting,Frustration
93,Beedrill,Beedrill,Bug Bite,Aerial Ace
94,Beedrill,Beedrill,Bug Bite,Drill Run
95,Beedrill,Beedrill,Poison Jab,Aerial Ace
96,Beedrill,Beedrill,Poison Jab,Drill Run
97,Beedrill,Beedrill,Infestation,Aerial Ace
98,Beedrill,Beedrill,Infestation,Drill Run
99,Pidgey,Pidgey,Quick Attack,Aerial Ace
100,Pidgey,Pidgey,Quick Attack,Twister
101,Pidgey,Pidgey,Quick Attack,Air Cutter
102,Pidgey,Pidgey,Tackle,Aerial Ace
103,Pidgey,Pidgey,Tackle,Twister
104,Pidgey,Pidgey,Tackle,Air Cutter
105,Pidgeotto,Pidgeotto,Wing Attack,Aerial Ace
106,Pidgeotto,Pidgeotto,Wing Attack,Twister
107,Pidgeotto,Pidgeotto,Wing Attack,Air Cutter
108,Pidgeotto,Pidgeotto,Steel Wing,Aerial Ace
109,Pidgeotto,Pidgeotto,Steel Wing,Twister
110,Pidgeotto,Pidgeotto,Steel Wing,Air Cutter
111,Pidgeot,Pidgeot,Wing Attack,Aerial Ace
112,Pidgeot,Pidgeot,Wing Attack,Air Cutter
113,Pidgeot,Pidgeot,Wing Attack,Hurricane
114,Pidgeot,Pidgeot,Wing Attack,Brave Bird
115,Pidgeot,Pidgeot,Wing Attack,Feather Dance
116,Rattata,Rattata,Quick Attack,Dig
117,Rattata,Rattata,Quick Attack,Hyper Fang
118,Rattata,Rattata,Quick Attack,Body Slam
119,Rattata,Rattata,Quick Attack,Frustration
120,Rattata,Rattata,Tackle,Dig
121,Rattata,Rattata,Tackle,Hyper Fang
122,Rattata,Rattata,Tackle,Body Slam
123,Rattata,Rattata,Tackle,Frustration
124,Rattata,Rattata (Alolan Rattata),Quick Attack,Shadow Ball
125,Rattata,Rattata (Alolan Rattata),Quick Attack,Hyper Fang
126,Rattata,Rattata (Alolan Rattata),Quick Attack,Crunch
127,Rattata,Rattata (Alolan Rattata),Tackle,Shadow Ball
128,Rattata,Rattata (Alolan Rattata),Tackle,Hyper Fang
129,Rattata,Rattata (Alolan Rattata),Tackle,Crunch
130,Raticate,Raticate,Bite,Hyper Beam
131,Raticate,Raticate,Bite,Dig
132,Raticate,Raticate,Bite,Hyper Fang
133,Raticate,Raticate,Bite,Frustration
134,Raticate,Raticate,Quick Attack,Hyper Beam
135,Raticate,Raticate,Quick Attack,Dig
136,Raticate,Raticate,Quick Attack,Hyper Fang
137,Raticate,Raticate,Quick Attack,Frustration
138,Raticate,Raticate (Alolan Raticate),Bite,Hyper Beam
139,Raticate,Raticate (Alolan Raticate),Bite,Hyper Fang
140,Raticate,Raticate (Alolan Raticate),Bite,Crunch
141,Raticate,Raticate (Alolan Raticate),Quick Attack,Hyper Beam
142,Raticate,Raticate (Alolan Raticate),Quick Attack,Hyper Fang
143,Raticate,Raticate (Alolan Raticate),Quick Attack,Crunch
144,Spearow,Spearow,Peck,Drill Peck
145,Spearow,Spearow,Peck,Aerial Ace
146,Spearow,Spearow,Peck,Twister
147,Spearow,Spearow,Peck,Sky Attack
148,Spearow,Spearow,Quick Attack,Drill Peck
149,Spearow,Spearow,Quick Attack,Aerial Ace
150,Spearow,Spearow,Quick Attack,Twister
151,Spearow,Spearow,Quick Attack,Sky Attack
152,Fearow,Fearow,Peck,Aerial Ace
153,Fearow,Fearow,Peck,Drill Run
154,Fearow,Fearow,Peck,Twister
155,Fearow,Fearow,Peck,Sky Attack
156,Fearow,Fearow,Steel Wing,Aerial Ace
157,Fearow,Fearow,Steel Wing,Drill Run
158,Fearow,Fearow,Steel Wing,Twister
159,Fearow,Fearow,Steel Wing,Sky Attack
160,Ekans,Ekans,Acid,Wrap
161,Ekans,Ekans,Acid,Poison Fang
162,Ekans,Ekans,Acid,Sludge Bomb
163,Ekans,Ekans,Acid,Gunk Shot
164,Ekans,Ekans,Poison Sting,Wrap
165,Ekans,Ekans,Poison Sting,Poison Fang
166,Ekans,Ekans,Poison Sting,Sludge Bomb
167,Ekans,Ekans,Poison Sting,Gunk Shot
168,Arbok,Arbok,Bite,Dark Pulse
169,Arbok,Arbok,Bite,Sludge Wave
170,Arbok,Arbok,Bite,Gunk Shot
171,Arbok,Arbok,Bite,Acid Spray
172,Arbok,Arbok,Bite,Frustration
173,Arbok,Arbok,Acid,Dark Pulse
174,Arbok,Arbok,Acid,Sludge Wave
175,Arbok,Arbok,Acid,Gunk Shot
176,Arbok,Arbok,Acid,Acid Spray
177,Arbok,Arbok,Acid,Frustration
178,Arbok,Arbok,Dragon Tail,Dark Pulse
179,Arbok,Arbok,Dragon Tail,Sludge Wave
180,Arbok,Arbok,Dragon Tail,Gunk Shot
181,Arbok,Arbok,Dragon Tail,Acid Spray
182,Arbok,Arbok,Dragon Tail,Frustration
183,Pikachu,Pikachu,Thunder Shock,Discharge
184,Pikachu,Pikachu,Thunder Shock,Thunder
185,Pikachu,Pikachu,Quick Attack,Discharge
186,Pikachu,Pikachu,Quick Attack,Thunder
187,Pikachu,Pikachu,Present,Discharge
188,Pikachu,Pikachu,Present,Thunder
189,Pikachu,Pikachu (Pikachu Libre),Thunder Shock,Thunder Punch
190,Pikachu,Pikachu (Pikachu Libre),Thunder Shock,Play Rough
191,Pikachu,Pikachu (Pikachu Libre),Thunder Shock,Flying Press
192,Pikachu,Pikachu (Pikachu Libre),Charm,Thunder Punch
193,Pikachu,Pikachu (Pikachu Libre),Charm,Play Rough
194,Pikachu,Pikachu (Pikachu Libre),Charm,Flying Press
195,Pikachu,Pikachu (5-Shaped Balloon),Thunder Shock,Discharge
196,Pikachu,Pikachu (5-Shaped Balloon),Thunder Shock,Thunderbolt
197,Pikachu,Pikachu (5-Shaped Balloon),Thunder Shock,Wild Charge
198,Pikachu,Pikachu (5-Shaped Balloon),Thunder Shock,Fly
199,Pikachu,Pikachu (5-Shaped Balloon),Quick Attack,Discharge
200,Pikachu,Pikachu (5-Shaped Balloon),Quick Attack,Thunderbolt
201,Pikachu,Pikachu (5-Shaped Balloon),Quick Attack,Wild Charge
202,Pikachu,Pikachu (5-Shaped Balloon),Quick Attack,Fly
203,Pikachu,Pikachu (5-Shaped Balloon),Present,Discharge
204,Pikachu,Pikachu (5-Shaped Balloon),Present,Thunderbolt
205,Pikachu,Pikachu (5-Shaped Balloon),Present,Wild Charge
206,Pikachu,Pikachu (5-Shaped Balloon),Present,Fly
207,Pikachu,Pikachu (Pop Star),Thunder Shock,Thunder Punch
208,Pikachu,Pikachu (Pop Star),Thunder Shock,Draining Kiss
209,Pikachu,Pikachu (Pop Star),Thunder Shock,Play Rough
210,Pikachu,Pikachu (Pop Star),Charm,Thunder Punch
211,Pikachu,Pikachu (Pop Star),Charm,Draining Kiss
212,Pikachu,Pikachu (Pop Star),Charm,Play Rough
213,Pikachu,Pikachu (Rock Star),Thunder Shock,Thunder Punch
214,Pikachu,Pikachu (Rock Star),Thunder Shock,Play Rough
215,Pikachu,Pikachu (Rock Star),Thunder Shock,Meteor Mash
216,Pikachu,Pikachu (Rock Star),Charm,Thunder Punch
217,Pikachu,Pikachu (Rock Star),Charm,Play Rough
218,Pikachu,Pikachu (Rock Star),Charm,Meteor Mash
219,Raichu,Raichu,Thunder Shock,Thunder Punch
220,Raichu,Raichu,Thunder Shock,Thunder
221,Raichu,Raichu,Thunder Shock,Brick Break
222,Raichu,Raichu,Thunder Shock,Wild Charge
223,Raichu,Raichu,Thunder Shock,Skull Bash
224,Raichu,Raichu,Spark,Thunder Punch
225,Raichu,Raichu,Spark,Thunder
226,Raichu,Raichu,Spark,Brick Break
227,Raichu,Raichu,Spark,Wild Charge
228,Raichu,Raichu,Spark,Skull Bash
229,Raichu,Raichu,Volt Switch,Thunder Punch
230,Raichu,Raichu,Volt Switch,Thunder
231,Raichu,Raichu,Volt Switch,Brick Break
232,Raichu,Raichu,Volt Switch,Wild Charge
233,Raichu,Raichu,Volt Switch,Skull Bash
234,Raichu,Raichu,Charm,Thunder Punch
235,Raichu,Raichu,Charm,Thunder
236,Raichu,Raichu,Charm,Brick Break
237,Raichu,Raichu,Charm,Wild Charge
238,Raichu,Raichu,Charm,Skull Bash
239,Raichu,Raichu (Alolan Raichu),Thunder Shock,Thunder Punch
240,Raichu,Raichu (Alolan Raichu),Thunder Shock,Psychic
241,Raichu,Raichu (Alolan Raichu),Thunder Shock,Wild Charge
242,Raichu,Raichu (Alolan Raichu),Thunder Shock,Grass Knot
243,Raichu,Raichu (Alolan Raichu),Spark,Thunder Punch
244,Raichu,Raichu (Alolan Raichu),Spark,Psychic
245,Raichu,Raichu (Alolan Raichu),Spark,Wild Charge
246,Raichu,Raichu (Alolan Raichu),Spark,Grass Knot
247,Raichu,Raichu (Alolan Raichu),Volt Switch,Thunder Punch
248,Raichu,Raichu (Alolan Raichu),Volt Switch,Psychic
249,Raichu,Raichu (Alolan Raichu),Volt Switch,Wild Charge
250,Raichu,Raichu (Alolan Raichu),Volt Switch,Grass Knot
251,Sandshrew,Sandshrew,Mud Shot,Dig
252,Sandshrew,Sandshrew,Mud Shot,Rock Tomb
253,Sandshrew,Sandshrew,Scratch,Dig
254,Sandshrew,Sandshrew,Scratch,Rock Tomb
255,Sandshrew,Sandshrew (Alolan Sandshrew),Metal Claw,Blizzard
256,Sandshrew,Sandshrew (Alolan Sandshrew),Metal Claw,Night Slash
257,Sandshrew,Sandshrew (Alolan Sandshrew),Metal Claw,Gyro Ball
258,Sandshrew,Sandshrew (Alolan Sandshrew),Powder Snow,Blizzard
259,Sandshrew,Sandshrew (Alolan Sandshrew),Powder Snow,Night Slash
260,Sandshrew,Sandshrew (Alolan Sandshrew),Powder Snow,Gyro Ball
261,Sandslash,Sandslash,Mud Shot,Earthquake
262,Sandslash,Sandslash,Mud Shot,Rock Tomb
263,Sandslash,Sandslash,Mud Shot,Bulldoze
264,Sandslash,Sandslash,Mud Shot,Frustration
265,Sandslash,Sandslash,Metal Claw,Earthquake
266,Sandslash,Sandslash,Metal Claw,Rock Tomb
267,Sandslash,Sandslash,Metal Claw,Bulldoze
268,Sandslash,Sandslash,Metal Claw,Frustration
269,Sandslash,Sandslash (Alolan Sandslash),Metal Claw,Ice Punch
270,Sandslash,Sandslash (Alolan Sandslash),Metal Claw,Blizzard
271,Sandslash,Sandslash (Alolan Sandslash),Metal Claw,Bulldoze
272,Sandslash,Sandslash (Alolan Sandslash),Metal Claw,Gyro Ball
273,Sandslash,Sandslash (Alolan Sandslash),Powder Snow,Ice Punch
274,Sandslash,Sandslash (Alolan Sandslash),Powder Snow,Blizzard
275,Sandslash,Sandslash (Alolan Sandslash),Powder Snow,Bulldoze
276,Sandslash,Sandslash (Alolan Sandslash),Powder Snow,Gyro Ball
285,Nidorina,Nidorina,Bite,Dig
286,Nidorina,Nidorina,Bite,Poison Fang
287,Nidorina,Nidorina,Bite,Sludge Bomb
288,Nidorina,Nidorina,Bite,Frustration
289,Nidorina,Nidorina,Poison Sting,Dig
290,Nidorina,Nidorina,Poison Sting,Poison Fang
291,Nidorina,Nidorina,Poison Sting,Sludge Bomb
292,Nidorina,Nidorina,Poison Sting,Frustration
293,Nidoqueen,Nidoqueen,Bite,Earthquake
294,Nidoqueen,Nidoqueen,Bite,Stone Edge
295,Nidoqueen,Nidoqueen,Bite,Poison Fang
296,Nidoqueen,Nidoqueen,Bite,Sludge Wave
297,Nidoqueen,Nidoqueen,Bite,Earth Power
298,Nidoqueen,Nidoqueen,Bite,Frustration
299,Nidoqueen,Nidoqueen,Poison Jab,Earthquake
300,Nidoqueen,Nidoqueen,Poison Jab,Stone Edge
301,Nidoqueen,Nidoqueen,Poison Jab,Poison Fang
302,Nidoqueen,Nidoqueen,Poison Jab,Sludge Wave
303,Nidoqueen,Nidoqueen,Poison Jab,Earth Power
304,Nidoqueen,Nidoqueen,Poison Jab,Frustration
313,Nidorino,Nidorino,Poison Jab,Dig
314,Nidorino,Nidorino,Poison Jab,Sludge Bomb
315,Nidorino,Nidorino,Poison Jab,Horn Attack
316,Nidorino,Nidorino,Poison Jab,Frustration
317,Nidorino,Nidorino,Poison Sting,Dig
318,Nidorino,Nidorino,Poison Sting,Sludge Bomb
319,Nidorino,Nidorino,Poison Sting,Horn Attack
320,Nidorino,Nidorino,Poison Sting,Frustration
321,Nidoking,Nidoking,Fury Cutter,Megahorn
322,Nidoking,Nidoking,Fury Cutter,Earthquake
323,Nidoking,Nidoking,Fury Cutter,Sludge Wave
324,Nidoking,Nidoking,Fury Cutter,Sand Tomb
325,Nidoking,Nidoking,Fury Cutter,Earth Power
326,Nidoking,Nidoking,Fury Cutter,Frustration
327,Nidoking,Nidoking,Poison Jab,Megahorn
328,Nidoking,Nidoking,Poison Jab,Earthquake
329,Nidoking,Nidoking,Poison Jab,Sludge Wave
330,Nidoking,Nidoking,Poison Jab,Sand Tomb
331,Nidoking,Nidoking,Poison Jab,Earth Power
332,Nidoking,Nidoking,Poison Jab,Frustration
333,Nidoking,Nidoking,Iron Tail,Megahorn
334,Nidoking,Nidoking,Iron Tail,Earthquake
335,Nidoking,Nidoking,Iron Tail,Sludge Wave
336,Nidoking,Nidoking,Iron Tail,Sand Tomb
337,Nidoking,Nidoking,Iron Tail,Earth Power
338,Nidoking,Nidoking,Iron Tail,Frustration
339,Clefairy,Clefairy,Pound,Disarming Voice
340,Clefairy,Clefairy,Pound,Moonblast
341,Clefairy,Clefairy,Pound,Body Slam
342,Clefairy,Clefairy,Zen Headbutt,Disarming Voice
343,Clefairy,Clefairy,Zen Headbutt,Moonblast
344,Clefairy,Clefairy,Zen Headbutt,Body Slam
345,Clefable,Clefable,Pound,Dazzling Gleam
346,Clefable,Clefable,Pound,Moonblast
347,Clefable,Clefable,Pound,Psychic
348,Clefable,Clefable,Pound,Meteor Mash
349,Clefable,Clefable,Zen Headbutt,Dazzling Gleam
350,Clefable,Clefable,Zen Headbutt,Moonblast
351,Clefable,Clefable,Zen Headbutt,Psychic
352,Clefable,Clefable,Zen Headbutt,Meteor Mash
353,Clefable,Clefable,Charge Beam,Dazzling Gleam
354,Clefable,Clefable,Charge Beam,Moonblast
355,Clefable,Clefable,Charge Beam,Psychic
356,Clefable,Clefable,Charge Beam,Meteor Mash
357,Clefable,Clefable,Charm,Dazzling Gleam
358,Clefable,Clefable,Charm,Moonblast
359,Clefable,Clefable,Charm,Psychic
360,Clefable,Clefable,Charm,Meteor Mash
361,Vulpix,Vulpix,Ember,Flamethrower
362,Vulpix,Vulpix,Ember,Flame Charge
363,Vulpix,Vulpix,Ember,Body Slam
364,Vulpix,Vulpix,Ember,Weather Ball - Fire
365,Vulpix,Vulpix,Ember,Frustration
366,Vulpix,Vulpix,Quick Attack,Flamethrower
367,Vulpix,Vulpix,Quick Attack,Flame Charge
368,Vulpix,Vulpix,Quick Attack,Body Slam
369,Vulpix,Vulpix,Quick Attack,Weather Ball - Fire
370,Vulpix,Vulpix,Quick Attack,Frustration
371,Vulpix,Vulpix (Alolan Vulpix),Zen Headbutt,Dark Pulse
372,Vulpix,Vulpix (Alolan Vulpix),Zen Headbutt,Ice Beam
373,Vulpix,Vulpix (Alolan Vulpix),Zen Headbutt,Blizzard
374,Vulpix,Vulpix (Alolan Vulpix),Zen Headbutt,Weather Ball - Ice
375,Vulpix,Vulpix (Alolan Vulpix),Powder Snow,Dark Pulse
376,Vulpix,Vulpix (Alolan Vulpix),Powder Snow,Ice Beam
377,Vulpix,Vulpix (Alolan Vulpix),Powder Snow,Blizzard
378,Vulpix,Vulpix (Alolan Vulpix),Powder Snow,Weather Ball - Ice
379,Ninetales,Ninetales,Ember,Flamethrower
380,Ninetales,Ninetales,Feint Attack,Flamethrower
381,Ninetales,Ninetales,Fire Spin,Flamethrower
382,Ninetales,Ninetales (Alolan Ninetales),Feint Attack,Ice Beam
383,Ninetales,Ninetales (Alolan Ninetales),Feint Attack,Blizzard
384,Ninetales,Ninetales (Alolan Ninetales),Feint Attack,Psyshock
385,Ninetales,Ninetales (Alolan Ninetales),Feint Attack,Dazzling Gleam
386,Ninetales,Ninetales (Alolan Ninetales),Feint Attack,Weather Ball - Ice
387,Ninetales,Ninetales (Alolan Ninetales),Powder Snow,Ice Beam
388,Ninetales,Ninetales (Alolan Ninetales),Powder Snow,Blizzard
389,Ninetales,Ninetales (Alolan Ninetales),Powder Snow,Psyshock
390,Ninetales,Ninetales (Alolan Ninetales),Powder Snow,Dazzling Gleam
391,Ninetales,Ninetales (Alolan Ninetales),Powder Snow,Weather Ball - Ice
392,Ninetales,Ninetales (Alolan Ninetales),Charm,Ice Beam
393,Ninetales,Ninetales (Alolan Ninetales),Charm,Blizzard
394,Ninetales,Ninetales (Alolan Ninetales),Charm,Psyshock
395,Ninetales,Ninetales (Alolan Ninetales),Charm,Dazzling Gleam
396,Ninetales,Ninetales (Alolan Ninetales),Charm,Weather Ball - Ice
397,Jigglypuff,Jigglypuff,Pound,Disarming Voice
398,Jigglypuff,Jigglypuff,Pound,Dazzling Gleam
399,Jigglypuff,Jigglypuff,Pound,Play Rough
400,Jigglypuff,Jigglypuff,Pound,Gyro Ball
401,Jigglypuff,Jigglypuff,Feint Attack,Disarming Voice
402,Jigglypuff,Jigglypuff,Feint Attack,Dazzling Gleam
403,Jigglypuff,Jigglypuff,Feint Attack,Play Rough
404,Jigglypuff,Jigglypuff,Feint Attack,Gyro Ball
405,Wigglytuff,Wigglytuff,Pound,Hyper Beam
406,Wigglytuff,Wigglytuff,Pound,Ice Beam
407,Wigglytuff,Wigglytuff,Pound,Dazzling Gleam
408,Wigglytuff,Wigglytuff,Pound,Play Rough
409,Wigglytuff,Wigglytuff,Feint Attack,Hyper Beam
410,Wigglytuff,Wigglytuff,Feint Attack,Ice Beam
411,Wigglytuff,Wigglytuff,Feint Attack,Dazzling Gleam
412,Wigglytuff,Wigglytuff,Feint Attack,Play Rough
413,Wigglytuff,Wigglytuff,Charm,Hyper Beam
414,Wigglytuff,Wigglytuff,Charm,Ice Beam
415,Wigglytuff,Wigglytuff,Charm,Dazzling Gleam
416,Wigglytuff,Wigglytuff,Charm,Play Rough
417,Zubat,Zubat,Bite,Poison Fang
418,Zubat,Zubat,Bite,Sludge Bomb
419,Zubat,Zubat,Quick Attack,Poison Fang
420,Zubat,Zubat,Quick Attack,Sludge Bomb
421,Golbat,Golbat,Bite,Poison Fang
422,Golbat,Golbat,Bite,Ominous Wind
423,Golbat,Golbat,Wing Attack,Poison Fang
424,Golbat,Golbat,Wing Attack,Ominous Wind
425,Oddish,Oddish,Razor Leaf,Seed Bomb
426,Oddish,Oddish,Razor Leaf,Moonblast
427,Oddish,Oddish,Razor Leaf,Sludge Bomb
428,Oddish,Oddish,Razor Leaf,Frustration
429,Oddish,Oddish,Acid,Seed Bomb
430,Oddish,Oddish,Acid,Moonblast
431,Oddish,Oddish,Acid,Sludge Bomb
432,Oddish,Oddish,Acid,Frustration
433,Gloom,Gloom,Razor Leaf,Petal Blizzard
434,Gloom,Gloom,Razor Leaf,Moonblast
435,Gloom,Gloom,Razor Leaf,Sludge Bomb
436,Gloom,Gloom,Razor Leaf,Frustration
437,Gloom,Gloom,Acid,Petal Blizzard
438,Gloom,Gloom,Acid,Moonblast
439,Gloom,Gloom,Acid,Sludge Bomb
440,Gloom,Gloom,Acid,Frustration
441,Vileplume,Vileplume,Razor Leaf,Petal Blizzard
442,Vileplume,Vileplume,Razor Leaf,Moonblast
443,Vileplume,Vileplume,Razor Leaf,Sludge Bomb
444,Vileplume,Vileplume,Razor Leaf,Solar Beam
445,Vileplume,Vileplume,Razor Leaf,Frustration
446,Vileplume,Vileplume,Acid,Petal Blizzard
447,Vileplume,Vileplume,Acid,Moonblast
448,Vileplume,Vileplume,Acid,Sludge Bomb
449,Vileplume,Vileplume,Acid,Solar Beam
450,Vileplume,Vileplume,Acid,Frustration
451,Paras,Paras,Bug Bite,Seed Bomb
452,Paras,Paras,Bug Bite,Cross Poison
453,Paras,Paras,Bug Bite,X-Scissor
454,Paras,Paras,Scratch,Seed Bomb
455,Paras,Paras,Scratch,Cross Poison
456,Paras,Paras,Scratch,X-Scissor
457,Parasect,Parasect,Fury Cutter,Cross Poison
458,Parasect,Parasect,Fury Cutter,X-Scissor
459,Parasect,Parasect,Fury Cutter,Solar Beam
460,Parasect,Parasect,Bug Bite,Cross Poison
461,Parasect,Parasect,Bug Bite,X-Scissor
462,Parasect,Parasect,Bug Bite,Solar Beam
463,Parasect,Parasect,Struggle Bug,Cross Poison
464,Parasect,Parasect,Struggle Bug,X-Scissor
465,Parasect,Parasect,Struggle Bug,Solar Beam
466,Venonat,Venonat,Bug Bite,Psybeam
467,Venonat,Venonat,Bug Bite,Poison Fang
468,Venonat,Venonat,Bug Bite,Signal Beam
469,Venonat,Venonat,Bug Bite,Frustration
470,Venonat,Venonat,Confusion,Psybeam
471,Venonat,Venonat,Confusion,Poison Fang
472,Venonat,Venonat,Confusion,Signal Beam
473,Venonat,Venonat,Confusion,Frustration
474,Venomoth,Venomoth,Bug Bite,Bug Buzz
475,Venomoth,Venomoth,Bug Bite,Poison Fang
476,Venomoth,Venomoth,Bug Bite,Psychic
477,Venomoth,Venomoth,Bug Bite,Silver Wind
478,Venomoth,Venomoth,Bug Bite,Frustration
479,Venomoth,Venomoth,Confusion,Bug Buzz
480,Venomoth,Venomoth,Confusion,Poison Fang
481,Venomoth,Venomoth,Confusion,Psychic
482,Venomoth,Venomoth,Confusion,Silver Wind
483,Venomoth,Venomoth,Confusion,Frustration
484,Venomoth,Venomoth,Infestation,Bug Buzz
485,Venomoth,Venomoth,Infestation,Poison Fang
486,Venomoth,Venomoth,Infestation,Psychic
487,Venomoth,Venomoth,Infestation,Silver Wind
488,Venomoth,Venomoth,Infestation,Frustration
489,Diglett,Diglett,Scratch,Dig
490,Diglett,Diglett,Scratch,Rock Tomb
491,Diglett,Diglett,Scratch,Mud Bomb
492,Diglett,Diglett,Scratch,Frustration
493,Diglett,Diglett,Mud-Slap,Dig
494,Diglett,Diglett,Mud-Slap,Rock Tomb
495,Diglett,Diglett,Mud-Slap,Mud Bomb
496,Diglett,Diglett,Mud-Slap,Frustration
497,Diglett,Diglett (Alolan Diglett),Metal Claw,Dig
498,Diglett,Diglett (Alolan Diglett),Metal Claw,Rock Tomb
499,Diglett,Diglett (Alolan Diglett),Metal Claw,Mud Bomb
500,Diglett,Diglett (Alolan Diglett),Mud-Slap,Dig
501,Diglett,Diglett (Alolan Diglett),Mud-Slap,Rock Tomb
502,Diglett,Diglett (Alolan Diglett),Mud-Slap,Mud Bomb
503,Dugtrio,Dugtrio,Sucker Punch,Earthquake
504,Dugtrio,Dugtrio,Sucker Punch,Stone Edge
505,Dugtrio,Dugtrio,Sucker Punch,Mud Bomb
